0  The vision of healthier Canadians through innovative e-health solutions is supported by an infostructure that provides residents of Canada and their health care providers with timely access appropriate access and secure access to the right information when they enter into the health care system and where they enter into the health care system .
0  Timely access to information will help inform the overall nursing care management of patients or clients or residents improving their experiences and outcomes across the continuum of care .
0  It was acknowledged that the EHR needs to enable appropriate patient information and efficient patient information flows between the EHR and other information 'point-of-service' systems and communication 'point-of-service' systems .
0  Nursing data\: Should be structured and codified to ensure the sharing and re-use of patient information across disciplines and care settings .
0  Nursing data\: Should be simple and concise to facilitate timely access to patient information  .
1  Information about the patient or client or resident (for convenience hereafter referred to as the patient) can be effectively shared between health care providers and across care settings within a jurisdiction possibly and possibly across jurisdictions in compliance with federal or provincial or territorial  as well as cross-jurisdictional privacy and security requirements .
0  Technologies are available to support the capture of patient information at the point-of-care .
0  Patients have access to information technologies and communication technologies - such as personal health records  internet applications and wireless devices - to enter and share information with their health care providers .
0  Health care providers and the patient contribute to the shared care plan  i .e . the same care plan can be shared between providers and the patient .
0  Nurses need to ensure the patients privacy and security of EHR data is protected .
0  Clinical or Business Requirements\: Nurses  acting as the patients data custodian  need to have the right to access the electronic health record audit trail .
0  Clinical or Business Requirements\: Within the EHR privacy framework and security framework  nurses can document specific reasons surrounding their access to a patients record .
0  Provides nurses with authorized access to patient electronic health record data based upon provider role .
1  Allows masking of patient data at the global record level or at a record data component level .
0  Allows nurses to document specific reasons surrounding their access to a patients record as may be required .
0  Nurse Manager performing a quality care review  emergency nurse breaking the glass on a locked patient record to access information for patient care in an emergency situation .
0  Nurses need to advocate for patients and mitigate the risk of miscommunication possibly and possibly misinterpretation of patient information .
0  Clinical or Business Requirements\: Nurses need unambiguous and current patient information that will carry consistent meanings across different care providers or health care sectors or jurisdictions .
0  EHR Functional Elements\: Captures and displays clinically relevant data using standardized coded clinical terminologies regardless of where the data are captured or viewed .
0  EHR Functional Elements\: Ensures data integrity during storage and transmission .
0  EHR Functional Elements\: Enables accurate interpretation of information  such as standardized data definitions and reference data .
0  EHR Functional Elements\: Provides timely access to information at point of care with real time data exchange; see also collaborative practice .
0  EHR Functional Elements\: Synchronously locks and checks orders  e .g . drug interaction checking .
0  EHR Functional Elements\: Alerts when interventions or guidelines are not being followed .
0  Nurses need to know the source of patient information to support decision making .
0  Clinical or Business Requirements\: Nurses need to know who entered the data  role  when  and where .
0  EHR Functional Elements\: Displays source of data upon request .
